Date,Misc,CERN,"NCSA
https://en.wikipedia.org/wiki/Mosaic_(web_browser)","Netscape
https://en.wikipedia.org/wiki/Netscape_(web_browser)#Release_history",Mozilla,"Firefox
https://en.wikipedia.org/wiki/Firefox_early_version_history
https://en.wikipedia.org/wiki/Firefox_version_history","SeaMonkey
https://en.wikipedia.org/wiki/History_of_Mozilla_Application_Suite
https://en.wikipedia.org/wiki/SeaMonkey",Waterfox,"Pale Moon
https://www.palemoon.org/releasenotes-archived.shtml",Flock,Other Gecko-based,"Microsoft
https://en.wikipedia.org/wiki/Internet_Explorer_version_history
https://en.wikipedia.org/wiki/Microsoft_Edge","MacIE
https://en.wikipedia.org/wiki/Internet_Explorer_for_Mac",IEコンポーネントブラウザ,Flash、Web技術,"Opera
https://en.wikipedia.org/wiki/History_of_the_Opera_web_browser","Vivaldi
https://en.wikipedia.org/wiki/Vivaldi_(web_browser)","Konqueror
https://timeline.kde.org/","Apple
https://en.wikipedia.org/wiki/Safari_version_history","Google
https://support.google.com/chrome/a/answer/10314655?hl=ja
https://google.fandom.com/wiki/Chrome_version_history","Brave
https://en.wikipedia.org/wiki/Brave_(web_browser)#History"
2002-09-23,,,,,,"Phoenix 0.1
最初のリリース
Gecko 1.2ベース
ドラッグ＆ドロップによるツールバーカスタマイズ（Camion開発者のDave Hyattによる）",,,,,,,,,,,,,,,
2002-10-09,,,,,,,,,,,,,,"MyIE2 0.5.830リリース
後のMaxthon",,,,,,,
2002-12-10,,,,,Netscape DevEdge日本 開設,,,,,,,,,,,,,,,,
2002-12-12,,,,,,,,,,,,,,Lunascape 1.0,,,,,,,
2002-12-24,,,,,,,,,,,"Epiphany（GNOME Web） 0.4
Galeonからフォーク",,,,,,,,,,
2003-01-07,,,,,,,,,,,,,,,,,,,"Safari 0.8
最初のパブリックベータ
レンダリングエンジンWebKit
JSエンジンJavaScript Core
ドラッグ＆ドロップによるツールバーカスタマイズ（Camion開発者のDave Hyattによる）",,
2003-01-28,,,,,,,,,,,,,,,,"Opera 7
レンダリングエンジンPresto
Web標準仕様に高水準で対応
RSSリーダー
IRCクライアント",,,,,
2003-01-29,,,,,,,,,,,風博士 0.0.2,,,,,,,,,,
2003-04-02,,,,,メインラインをPhoenixに切り替えることを公表,,,,,,,,,,,,,,,,
2003-05-17,,,,,,"Firebird 0.6
名称変更
Gecko 1.5ベース
拡張機能の管理機能",,,,,,,,,,,,,,,
2003-06-15,,,,AOL Time WarnerがNetscapeの事業終了を公表,,,,,,,,,,,,,,,,,
2003-06-16,,,,,,,,,,,,,"Internet Explorer 5.2.3 Macintosh Edition
最終版",,,,,,,,
2003-06-23,,,,,,,,,,,,,,,,,,,"Safari 1.0
Mac OS X標準ブラウザー
タブブラウズ
ブックマークの同期
AppleScript",,
2003-07-18,,,,,Mozilla Foundation設立,,,,,,,,,,,,,,,,
2003-09-08,,,,,,,,,,,"Epiphany 1.0
Gecko 1.6ベース",,,,,,,,,,
2003-10-24,,,,,,,,,,,,,,,,,,,Mac OS X 10.3 Panther,,
2003-11-18,,,,,,,,,,,,,,,"Macromedia Flash MX 2004（Fash 7）
ActionScript 2.0",,,,,,
